resultId,raceId,driverId,constructorId,number,grid,positionText,positionOrder,points,laps,milliseconds,fastestLap,rank,fastestLapSpeed,status,fastestlaptime_ms
8611,375,112,33,30,13,R,26,0.0,0,\N,\N,\N,\N,Suspension,-100
8612,375,167,18,23,0,F,27,0.0,0,\N,\N,\N,\N,Did not qualify,-100
8613,375,156,25,3,0,F,28,0.0,0,\N,\N,\N,\N,Did not qualify,-100
8614,375,78,45,21,0,F,29,0.0,0,\N,\N,\N,\N,Did not qualify,-100
8615,375,141,25,4,0,F,30,0.0,0,\N,\N,\N,\N,Did not qualify,-100
8616,375,131,44,33,0,E,31,0.0,0,\N,\N,\N,\N,Excluded,-100
8617,376,102,1,12,1,1,1,9.0,69,5986618,\N,\N,\N,Finished,-100
8618,376,117,1,11,2,2,2,6.0,69,5992552,\N,\N,\N,Finished,-100
8619,376,123,22,20,7,3,3,4.0,69,6038027,\N,\N,\N,Finished,-100
8620,376,137,32,1,6,4,4,3.0,68,\N,\N,\N,\N,+1 Lap,-100
8621,376,122,37,16,14,5,5,2.0,68,\N,\N,\N,\N,+1 Lap,-100
8622,376,156,25,3,19,6,6,1.0,67,\N,\N,\N,\N,+2 Laps,-100
8623,376,118,21,17,16,7,7,0.0,67,\N,\N,\N,\N,+2 Laps,-100
8624,376,99,42,31,26,8,8,0.0,67,\N,\N,\N,\N,+2 Laps,-100
8625,376,110,48,22,12,9,9,0.0,66,\N,\N,\N,\N,Out of fuel,-100
8626,376,112,33,30,17,10,10,0.0,66,\N,\N,\N,\N,Electrical,-100
8627,376,138,32,2,13,11,11,0.0,66,\N,\N,\N,\N,+3 Laps,-100
8628,376,131,44,33,15,12,12,0.0,66,\N,\N,\N,\N,+3 Laps,-100
8629,376,159,18,24,21,13,13,0.0,64,\N,\N,\N,\N,+5 Laps,-100
8630,376,160,49,9,22,14,14,0.0,63,\N,\N,\N,\N,Engine,-100
8631,376,127,37,15,18,R,15,0.0,54,\N,\N,\N,\N,Gearbox,-100
8632,376,166,39,14,10,R,16,0.0,41,\N,\N,\N,\N,Suspension,-100
8633,376,163,27,25,20,R,17,0.0,36,\N,\N,\N,\N,Transmission,-100
8634,376,105,6,27,4,R,18,0.0,33,\N,\N,\N,\N,Engine,-100
8635,376,119,3,6,11,R,19,0.0,32,\N,\N,\N,\N,Engine,-100
8636,376,158,21,18,8,R,20,0.0,31,\N,\N,\N,\N,Throttle,-100
8637,376,95,3,5,9,R,21,0.0,28,\N,\N,\N,\N,Engine,-100
8638,376,140,27,26,25,R,22,0.0,24,\N,\N,\N,\N,Engine,-100
8639,376,77,6,28,3,R,23,0.0,22,\N,\N,\N,\N,Electrical,-100
8640,376,145,22,19,5,R,24,0.0,15,\N,\N,\N,\N,Ignition,-100
8641,376,165,44,32,24,R,25,0.0,8,\N,\N,\N,\N,Chassis,-100
8642,376,141,25,4,23,R,26,0.0,0,\N,\N,\N,\N,Collision,-100
8643,376,167,18,23,0,F,27,0.0,0,\N,\N,\N,\N,Did not qualify,-100
8644,376,78,45,21,0,F,28,0.0,0,\N,\N,\N,\N,Did not qualify,-100
8645,376,114,33,29,0,F,29,0.0,0,\N,\N,\N,\N,Did not qualify,-100
8646,376,146,49,10,0,F,30,0.0,0,\N,\N,\N,\N,Did not qualify,-100
8647,376,133,35,36,0,F,31,0.0,0,\N,\N,\N,\N,Did not prequalify,-100
8648,377,102,1,12,1,1,1,9.0,63,6896035,\N,\N,\N,Finished,-100
8649,377,117,1,11,4,2,2,6.0,63,6934748,\N,\N,\N,Finished,-100
8650,377,123,22,20,5,3,3,4.0,62,\N,\N,\N,\N,+1 Lap,-100
8651,377,110,48,22,12,4,4,3.0,62,\N,\N,\N,\N,+1 Lap,-100
8652,377,156,25,3,17,5,5,2.0,62,\N,\N,\N,\N,+1 Lap,-100
8653,377,94,18,23,16,6,6,1.0,62,\N,\N,\N,\N,+1 Lap,-100
8654,377,114,33,29,24,7,7,0.0,61,\N,\N,\N,\N,+2 Laps,-100
8655,377,133,35,36,21,8,8,0.0,61,\N,\N,\N,\N,+2 Laps,-100
8656,377,141,25,4,22,9,9,0.0,59,\N,\N,\N,\N,Spun off,-100
8657,377,159,18,24,25,R,10,0.0,54,\N,\N,\N,\N,Gearbox,-100
8658,377,112,33,30,14,R,11,0.0,46,\N,\N,\N,\N,Halfshaft,-100
8659,377,131,44,33,19,R,12,0.0,46,\N,\N,\N,\N,Spun off,-100
8660,377,105,6,27,3,R,13,0.0,45,\N,\N,\N,\N,Collision,-100
8661,377,163,27,25,20,R,14,0.0,45,\N,\N,\N,\N,Overheating,-100
8662,377,127,37,15,13,R,15,0.0,34,\N,\N,\N,\N,Engine,-100
8663,377,119,3,6,10,R,16,0.0,26,\N,\N,\N,\N,Electrical,-100
8664,377,137,32,1,8,R,17,0.0,26,\N,\N,\N,\N,Spun off,-100
8665,377,165,44,32,23,R,18,0.0,26,\N,\N,\N,\N,Gearbox,-100
8666,377,118,21,17,9,R,19,0.0,24,\N,\N,\N,\N,Spun off,-100
8667,377,95,3,5,6,R,20,0.0,18,\N,\N,\N,\N,Engine,-100
8668,377,166,39,14,11,R,21,0.0,15,\N,\N,\N,\N,Suspension,-100
8669,377,145,22,19,7,R,22,0.0,14,\N,\N,\N,\N,Suspension,-100
8670,377,158,21,18,15,R,23,0.0,14,\N,\N,\N,\N,Electrical,-100
8671,377,78,45,21,26,R,24,0.0,7,\N,\N,\N,\N,Engine,-100
8672,377,77,6,28,2,R,25,0.0,6,\N,\N,\N,\N,Puncture,-100
8673,377,140,27,26,18,R,26,0.0,2,\N,\N,\N,\N,Overheating,-100
8674,377,122,37,16,0,W,27,0.0,0,\N,\N,\N,\N,Injured,-100
8675,377,138,32,2,0,F,28,0.0,0,\N,\N,\N,\N,Did not qualify,-100
8676,377,146,49,10,0,F,29,0.0,0,\N,\N,\N,\N,Did not qualify,-100
8677,377,160,49,9,0,F,30,0.0,0,\N,\N,\N,\N,Did not qualify,-100
8678,377,99,42,31,0,F,31,0.0,0,\N,\N,\N,\N,Did not qualify,-100
8679,378,117,1,11,1,1,1,9.0,80,5857328,\N,\N,\N,Finished,-100
8680,378,102,1,12,2,2,2,6.0,80,5889080,\N,\N,\N,Finished,-100
8681,378,105,6,27,4,3,3,4.0,80,5923833,\N,\N,\N,Finished,-100
8682,378,77,6,28,3,4,4,3.0,79,\N,\N,\N,\N,+1 Lap,-100
8683,378,137,32,1,7,5,5,2.0,79,\N,\N,\N,\N,+1 Lap,-100
8684,378,145,22,19,6,6,6,1.0,79,\N,\N,\N,\N,+1 Lap,-100
8685,378,138,32,2,8,7,7,0.0,79,\N,\N,\N,\N,+1 Lap,-100
8686,378,127,37,15,16,8,8,0.0,79,\N,\N,\N,\N,+1 Lap,-100
8687,378,122,37,16,10,9,9,0.0,79,\N,\N,\N,\N,+1 Lap,-100
8688,378,110,48,22,12,10,10,0.0,78,\N,\N,\N,\N,+2 Laps,-100
8689,378,158,21,18,13,11,11,0.0,78,\N,\N,\N,\N,+2 Laps,-100
8690,378,133,35,36,14,12,12,0.0,78,\N,\N,\N,\N,+2 Laps,-100
8691,378,114,33,29,19,13,13,0.0,78,\N,\N,\N,\N,+2 Laps,-100
8692,378,131,44,33,20,14,14,0.0,77,\N,\N,\N,\N,+3 Laps,-100
8693,378,94,18,23,22,15,15,0.0,77,\N,\N,\N,\N,+3 Laps,-100
8694,378,159,18,24,25,N,16,0.0,70,\N,\N,\N,\N,Not classified,-100
8695,378,165,44,32,26,R,17,0.0,64,\N,\N,\N,\N,Clutch,-100
8696,378,78,45,21,24,R,18,0.0,56,\N,\N,\N,\N,Halfshaft,-100
8697,378,146,49,10,21,R,19,0.0,55,\N,\N,\N,\N,Gearbox,-100
8698,378,95,3,5,9,R,20,0.0,48,\N,\N,\N,\N,Suspension,-100
8699,378,112,33,30,18,R,21,0.0,46,\N,\N,\N,\N,Electrical,-100
8700,378,156,25,3,23,R,22,0.0,40,\N,\N,\N,\N,Engine,-100
8701,378,119,3,6,15,R,23,0.0,35,\N,\N,\N,\N,Brakes,-100
8702,378,123,22,20,5,R,24,0.0,28,\N,\N,\N,\N,Engine,-100
8703,378,166,39,14,17,R,25,0.0,20,\N,\N,\N,\N,Fuel leak,-100
8704,378,118,21,17,11,R,26,0.0,11,\N,\N,\N,\N,Spun off,-100
8705,378,163,27,25,0,F,27,0.0,0,\N,\N,\N,\N,Did not qualify,-100
8706,378,141,25,4,0,F,28,0.0,0,\N,\N,\N,\N,Did not qualify,-100
8707,378,140,27,26,0,F,29,0.0,0,\N,\N,\N,\N,Did not qualify,-100
8708,378,99,42,31,0,F,30,0.0,0,\N,\N,\N,\N,Did not prequalify,-100
8709,378,160,49,9,0,E,31,0.0,0,\N,\N,\N,\N,Excluded,-100
8710,379,102,1,12,3,1,1,9.0,65,5596367,\N,\N,\N,Finished,-100
8711,379,95,3,5,11,2,2,6.0,65,5619711,\N,\N,\N,Finished,-100
8712,379,145,22,19,8,3,3,4.0,65,5647581,\N,\N,\N,Finished,-100
8713,379,127,37,15,5,4,4,3.0,65,5667745,\N,\N,\N,Finished,-100
8714,379,137,32,1,7,5,5,2.0,65,5677202,\N,\N,\N,Finished,-100
8715,379,118,21,17,9,6,6,1.0,64,\N,\N,\N,\N,+1 Lap,-100
8716,379,158,21,18,13,7,7,0.0,64,\N,\N,\N,\N,+1 Lap,-100
8717,379,119,3,6,15,8,8,0.0,64,\N,\N,\N,\N,+1 Lap,-100
8718,379,77,6,28,1,9,9,0.0,64,\N,\N,\N,\N,+1 Lap,-100
8719,379,138,32,2,10,10,10,0.0,64,\N,\N,\N,\N,+1 Lap,-100
8720,379,133,35,36,21,11,11,0.0,64,\N,\N,\N,\N,+1 Lap,-100
8721,379,131,44,33,20,12,12,0.0,64,\N,\N,\N,\N,+1 Lap,-100
8722,379,114,33,29,23,13,13,0.0,63,\N,\N,\N,\N,+2 Laps,-100
8723,379,112,33,30,22,14,14,0.0,63,\N,\N,\N,\N,+2 Laps,-100
8724,379,94,18,23,19,15,15,0.0,63,\N,\N,\N,\N,+2 Laps,-100
8725,379,141,25,4,24,16,16,0.0,63,\N,\N,\N,\N,+2 Laps,-100
8726,379,105,6,27,2,17,17,0.0,62,\N,\N,\N,\N,Out of fuel,-100
8727,379,163,27,25,25,18,18,0.0,62,\N,\N,\N,\N,+3 Laps,-100
8728,379,78,45,21,26,19,19,0.0,60,\N,\N,\N,\N,Out of fuel,-100
8729,379,123,22,20,12,R,20,0.0,38,\N,\N,\N,\N,Transmission,-100
8730,379,122,37,16,6,R,21,0.0,34,\N,\N,\N,\N,Alternator,-100
8731,379,117,1,11,4,R,22,0.0,24,\N,\N,\N,\N,Handling,-100
8732,379,156,25,3,17,R,23,0.0,14,\N,\N,\N,\N,Engine,-100
8733,379,110,48,22,14,R,24,0.0,9,\N,\N,\N,\N,Clutch,-100
8734,379,166,39,14,16,R,25,0.0,8,\N,\N,\N,\N,Broken wing,-100
8735,379,159,18,24,18,R,26,0.0,0,\N,\N,\N,\N,Suspension,-100
8736,379,165,44,32,0,F,27,0.0,0,\N,\N,\N,\N,Did not qualify,-100
8737,379,160,49,9,0,F,28,0.0,0,\N,\N,\N,\N,Did not qualify,-100
8738,379,140,27,26,0,F,29,0.0,0,\N,\N,\N,\N,Did not qualify,-100
8739,379,146,49,10,0,F,30,0.0,0,\N,\N,\N,\N,Did not qualify,-100
8740,379,99,42,31,0,F,31,0.0,0,\N,\N,\N,\N,Did not prequalify,-100
8741,380,102,1,12,1,1,1,9.0,44,5574188,\N,\N,\N,Finished,-100
8742,380,117,1,11,2,2,2,6.0,44,5587797,\N,\N,\N,Finished,-100
8743,380,77,6,28,3,3,3,4.0,44,5626283,\N,\N,\N,Finished,-100
8744,380,105,6,27,4,4,4,3.0,44,5675100,\N,\N,\N,Finished,-100
8745,380,122,37,16,7,5,5,2.0,44,5683794,\N,\N,\N,Finished,-100
8746,380,123,22,20,9,6,6,1.0,43,\N,\N,\N,\N,+1 Lap,-100
8747,380,118,21,17,12,7,7,0.0,43,\N,\N,\N,\N,+1 Lap,-100
8748,380,127,37,15,10,8,8,0.0,43,\N,\N,\N,\N,+1 Lap,-100
8749,380,138,32,2,8,9,9,0.0,43,\N,\N,\N,\N,+1 Lap,-100
8750,380,158,21,18,15,10,10,0.0,43,\N,\N,\N,\N,+1 Lap,-100
8751,380,156,25,3,24,11,11,0.0,43,\N,\N,\N,\N,+1 Lap,-100
8752,380,146,49,10,22,12,12,0.0,43,\N,\N,\N,\N,+1 Lap,-100
8753,380,110,48,22,14,13,13,0.0,42,\N,\N,\N,\N,+2 Laps,-100
8754,380,160,49,9,23,14,14,0.0,42,\N,\N,\N,\N,+2 Laps,-100
8755,380,133,35,36,19,15,15,0.0,42,\N,\N,\N,\N,+2 Laps,-100
8756,380,165,44,32,26,16,16,0.0,42,\N,\N,\N,\N,+2 Laps,-100
8757,380,163,27,25,17,17,17,0.0,41,\N,\N,\N,\N,+3 Laps,-100
8758,380,145,22,19,6,18,18,0.0,40,\N,\N,\N,\N,+4 Laps,-100
8759,380,114,33,29,21,19,19,0.0,39,\N,\N,\N,\N,Clutch,-100
8760,380,166,39,14,16,R,20,0.0,38,\N,\N,\N,\N,Throttle,-100
8761,380,119,3,6,13,R,21,0.0,34,\N,\N,\N,\N,Spun off,-100
8762,380,78,45,21,18,R,22,0.0,27,\N,\N,\N,\N,Engine,-100
8763,380,95,3,5,11,R,23,0.0,16,\N,\N,\N,\N,Spun off,-100
8764,380,131,44,33,25,R,24,0.0,15,\N,\N,\N,\N,Engine,-100
8765,380,112,33,30,20,R,25,0.0,8,\N,\N,\N,\N,Spun off,-100
8766,380,137,32,1,5,R,26,0.0,1,\N,\N,\N,\N,Spun off,-100
8767,380,159,18,24,0,F,27,0.0,0,\N,\N,\N,\N,Did not qualify,-100
8768,380,140,27,26,0,F,28,0.0,0,\N,\N,\N,\N,Did not qualify,-100
8769,380,141,25,4,0,F,29,0.0,0,\N,\N,\N,\N,Did not qualify,-100
8770,380,94,18,23,0,F,30,0.0,0,\N,\N,\N,\N,Did not qualify,-100
8771,380,99,42,31,0,F,31,0.0,0,\N,\N,\N,\N,Did not prequalify,-100
8772,381,102,1,12,1,1,1,9.0,76,7067081,\N,\N,\N,Finished,-100
8773,381,117,1,11,7,2,2,6.0,76,7067610,\N,\N,\N,Finished,-100
8774,381,123,22,20,3,3,3,4.0,76,7098491,\N,\N,\N,Finished,-100
8775,381,77,6,28,9,4,4,3.0,76,7155751,\N,\N,\N,Finished,-100
8776,381,127,37,15,8,5,5,2.0,75,\N,\N,\N,\N,+1 Lap,-100
8777,381,119,3,6,6,6,6,1.0,75,\N,\N,\N,\N,+1 Lap,-100
8778,381,138,32,2,19,7,7,0.0,73,\N,\N,\N,\N,+3 Laps,-100
8779,381,137,32,1,13,8,8,0.0,73,\N,\N,\N,\N,+3 Laps,-100
8780,381,114,33,29,17,9,9,0.0,73,\N,\N,\N,\N,+3 Laps,-100
8781,381,159,18,24,11,10,10,0.0,72,\N,\N,\N,\N,+4 Laps,-100
8782,381,131,44,33,26,11,11,0.0,72,\N,\N,\N,\N,+4 Laps,-100
8783,381,112,33,30,20,12,12,0.0,72,\N,\N,\N,\N,+4 Laps,-100
8784,381,99,42,31,22,13,13,0.0,71,\N,\N,\N,\N,+5 Laps,-100
8785,381,118,21,17,12,R,14,0.0,65,\N,\N,\N,\N,Brakes,-100
8786,381,95,3,5,2,R,15,0.0,60,\N,\N,\N,\N,Driver unwell,-100
8787,381,158,21,18,14,R,16,0.0,55,\N,\N,\N,\N,Brakes,-100
8788,381,105,6,27,15,R,17,0.0,40,\N,\N,\N,\N,Electrical,-100
8789,381,163,27,25,25,R,18,0.0,32,\N,\N,\N,\N,Engine,-100
8790,381,110,48,22,18,R,19,0.0,28,\N,\N,\N,\N,Halfshaft,-100
8791,381,145,22,19,5,R,20,0.0,24,\N,\N,\N,\N,Overheating,-100
8792,381,133,35,36,10,R,21,0.0,22,\N,\N,\N,\N,Engine,-100
8793,381,140,27,26,24,R,22,0.0,19,\N,\N,\N,\N,Throttle,-100
8794,381,94,18,23,16,R,23,0.0,8,\N,\N,\N,\N,Collision,-100
8795,381,166,39,14,23,R,24,0.0,8,\N,\N,\N,\N,Collision,-100
8796,381,122,37,16,4,R,25,0.0,5,\N,\N,\N,\N,Engine,-100
8797,381,156,25,3,21,R,26,0.0,3,\N,\N,\N,\N,Engine,-100
8798,381,165,44,32,0,F,27,0.0,0,\N,\N,\N,\N,Did not qualify,-100
8799,381,146,49,10,0,F,28,0.0,0,\N,\N,\N,\N,Did not qualify,-100
8800,381,141,25,4,0,F,29,0.0,0,\N,\N,\N,\N,Did not qualify,-100
8801,381,160,49,9,0,F,30,0.0,0,\N,\N,\N,\N,Did not qualify,-100
8802,381,78,45,21,0,F,31,0.0,0,\N,\N,\N,\N,Did not prequalify,-100
8803,382,102,1,12,1,1,1,9.0,43,5280549,\N,\N,\N,Finished,-100
8804,382,117,1,11,2,2,2,6.0,43,5311019,\N,\N,\N,Finished,-100
8805,382,122,37,16,14,3,3,4.0,43,5356317,\N,\N,\N,Finished,-100
8806,382,137,32,1,9,4,4,3.0,43,5364177,\N,\N,\N,Finished,-100
8807,382,118,21,17,10,5,5,2.0,43,5365904,\N,\N,\N,Finished,-100
